dataset,f_0,m_val,eo_val_0,eo_val_1,overall_eo_val
adult,biased,50,0.05789473684210525,0.16666666666666666,0.16666666666666666
adult,biased,100,0.0030487804878048808,0.024999999999999994,0.024999999999999994
adult,biased,150,0.02738095238095238,0.06766917293233082,0.06766917293233082
adult,biased,200,0.0325,0.04700854700854701,0.04700854700854701
adult,biased,250,0.024170711974110026,0.04999999999999999,0.04999999999999999
adult,biased,300,0.026272577996715923,0.0727272727272727,0.0727272727272727
adult,biased,350,0.031235431235431238,0.05609756097560975,0.05609756097560975
adult,biased,400,0.02010009686793672,0.13294117647058826,0.13294117647058826
adult,biased,450,0.032098312545854726,0.1265260821309656,0.1265260821309656
adult,biased,500,0.027329313363158927,0.10147783251231526,0.10147783251231526
adult,biased,550,0.010671688637790333,0.08479262672811061,0.08479262672811061
adult,biased,600,0.007807857378672831,0.0896825396825397,0.0896825396825397
adult,biased,650,0.0033388052641829674,0.08463726884779516,0.08463726884779516
adult,biased,700,0.0031590283594591373,0.06205619018215497,0.06205619018215497
adult,biased,750,0.0005183227077178304,0.051218161683277974,0.051218161683277974
adult,biased,800,0.0038742609525907884,0.044423661444938034,0.044423661444938034
adult,biased,850,0.0050803985400019736,0.03799019607843135,0.03799019607843135
adult,biased,900,0.003792176769184835,0.030434782608695643,0.030434782608695643
adult,biased,950,0.006775416271828892,0.01403823178016722,0.01403823178016722
adult,biased,1000,0.00703343644130211,0.032894736842105254,0.032894736842105254
adult,biased,1050,0.004508128037539798,0.03809523809523807,0.03809523809523807
adult,biased,1100,0.004093850642598255,0.042509892594686294,0.042509892594686294
adult,biased,1150,0.0030323450134770932,0.06060907643312102,0.06060907643312102
adult,biased,1200,0.0028950511502310802,0.08722002635046111,0.08722002635046111
adult,biased,1250,0.0030902945436986906,0.06628787878787878,0.06628787878787878
adult,biased,1300,0.005263157894736838,0.0641025641025641,0.0641025641025641
adult,biased,1350,0.003883782880340206,0.06716726370901077,0.06716726370901077
adult,biased,1400,0.0037722303592432477,0.06648766142437024,0.06648766142437024
adult,biased,1450,0.003937433550177505,0.0644316396018858,0.0644316396018858
adult,biased,1500,0.003711486967427041,0.0700287431408414,0.0700287431408414
adult,biased,1550,0.0029320217139579136,0.07000983284169127,0.07000983284169127
adult,biased,1600,0.003059766088934518,0.06284641516180944,0.06284641516180944
adult,biased,1650,0.006231231231231232,0.06372335798173118,0.06372335798173118
adult,biased,1700,0.0067847253070253966,0.07158762886597936,0.07158762886597936
adult,biased,1750,0.005530417295123179,0.07,0.07
adult,biased,1800,0.008455336872776678,0.05469578121687513,0.05469578121687513
adult,biased,1850,0.008686269726595482,0.07567967200994727,0.07567967200994727
adult,biased,1900,0.008584797317717503,0.07485647223015193,0.07485647223015193
adult,biased,1950,0.012748688976590802,0.07346014492753625,0.07346014492753625
adult,biased,2000,0.01275839096656075,0.07494824016563151,0.07494824016563151
adult,biased,2050,0.012549769071508197,0.07778668805132319,0.07778668805132319
adult,biased,2100,0.012463960327528542,0.06729972947606694,0.06729972947606694
adult,biased,2150,0.014900533989984227,0.046654294257139906,0.046654294257139906
adult,biased,2200,0.014386511984355588,0.04302084837979686,0.04302084837979686
adult,biased,2250,0.013354669770148382,0.04531974050046342,0.04531974050046342
adult,biased,2300,0.01566519952338108,0.04541967162804969,0.04541967162804969
adult,biased,2350,0.01321526169764483,0.05133952396200234,0.05133952396200234
adult,biased,2400,0.012354802053031438,0.06144399487627841,0.06144399487627841
adult,biased,2450,0.01196974939238224,0.054198116878063946,0.054198116878063946
adult,biased,2500,0.011994707794507238,0.053328092243186576,0.053328092243186576
adult,biased,2550,0.010980343317350608,0.04251700680272108,0.04251700680272108
adult,biased,2600,0.010201214430289318,0.04654670094258784,0.04654670094258784
adult,biased,2650,0.011200247571891073,0.03947368421052633,0.03947368421052633
adult,biased,2700,0.01095094049253642,0.03143093465674113,0.03143093465674113
adult,biased,2750,0.011824991487912835,0.03241059541844554,0.03241059541844554
adult,biased,2800,0.013545554696877522,0.03778153810246235,0.03778153810246235
adult,biased,2850,0.016265988376691375,0.04329374234526759,0.04329374234526759
adult,biased,2900,0.015928829510638037,0.039268423883808495,0.039268423883808495
adult,biased,2950,0.016606841449662055,0.03947087689353532,0.03947087689353532
adult,biased,3000,0.01560401112117709,0.036071461339834604,0.036071461339834604
adult,biased,3050,0.01710611719536411,0.03552566018933728,0.03552566018933728
adult,biased,3100,0.017015531852327105,0.042895538007801326,0.042895538007801326
adult,biased,3150,0.016007193085356655,0.03917278373800115,0.03917278373800115
adult,biased,3200,0.016734514350955014,0.04094733704748149,0.04094733704748149
adult,biased,3250,0.015765293443805346,0.0437068501871426,0.0437068501871426
adult,biased,3250,0.01776786931115256,0.006898340288583715,0.01776786931115256
